Time,Event,Score
2026-04-03 20:28:01,Looking Left,23.5
2026-04-03 20:28:02,Looking Left,24.0
2026-04-03 20:28:02,Looking Left,24.5
2026-04-03 20:28:02,Looking Left,25.0
2026-04-03 20:28:02,Looking Left,25.5
2026-04-03 20:28:03,Looking Left,26.0
2026-04-03 20:28:03,Looking Left,26.5
2026-04-03 20:28:03,Looking Left,27.0
2026-04-03 20:28:04,Looking Left,27.5
2026-04-03 20:28:04,Looking Left,28.0
2026-04-03 20:28:04,Looking Left,28.5
2026-04-03 20:28:04,Looking Left,29.0
2026-04-03 20:28:05,Looking Left,29.5
2026-04-03 20:28:05,Looking Left,30.0
2026-04-03 20:28:05,Looking Left,30.5
2026-04-03 20:28:06,Normal,30.5
2026-04-03 20:28:06,Normal,30.5
2026-04-03 20:28:06,Normal,30.5
2026-04-03 20:28:06,Normal,30.5
2026-04-03 20:28:07,Normal,30.5
2026-04-03 20:28:07,Normal,30.5
2026-04-03 20:28:07,Normal,30.5
2026-04-03 20:28:08,Normal,30.5
2026-04-03 20:28:08,Normal,30.5
2026-04-03 20:28:08,Normal,30.5
2026-04-03 20:28:08,Normal,30.5
2026-04-03 20:28:09,Normal,30.5
2026-04-03 20:28:09,Normal,30.5
2026-04-03 20:28:09,Normal,30.5
2026-04-03 20:28:10,Normal,30.5
2026-04-03 20:28:10,Normal,30.5
2026-04-03 20:28:10,Normal,30.5
2026-04-03 20:28:10,Normal,30.5
2026-04-03 20:28:11,Normal,30.5
2026-04-03 20:28:11,Normal,30.5
2026-04-03 20:28:11,Normal,30.5
2026-04-03 20:28:12,Normal,30.5
2026-04-03 20:28:12,Normal,30.5
2026-04-03 20:28:12,Normal,30.5
2026-04-03 20:28:13,Normal,30.5
2026-04-03 20:28:13,Normal,30.5
2026-04-03 20:28:13,Normal,30.5
2026-04-03 20:28:13,Normal,30.5
2026-04-03 20:28:14,Normal,30.5
2026-04-03 20:28:14,Normal,30.5
2026-04-03 20:28:14,Normal,30.5
2026-04-03 20:28:15,Normal,30.5
2026-04-03 20:28:15,Normal,30.5
2026-04-03 20:28:15,Normal,30.5
2026-04-03 20:28:15,Normal,30.5
2026-04-03 20:28:16,Normal,30.5
2026-04-03 20:28:16,Normal,30.5
2026-04-03 20:28:16,Normal,30.5
2026-04-03 20:28:17,Normal,30.5
2026-04-03 20:28:17,Normal,30.5
2026-04-03 20:28:17,Normal,30.5
2026-04-03 20:28:17,Normal,30.5
2026-04-03 20:28:18,Normal,30.5
2026-04-03 20:28:18,Normal,30.5
2026-04-03 20:28:18,Normal,30.5
2026-04-03 20:28:19,Normal,30.5
2026-04-03 20:28:19,Normal,30.5
2026-04-03 20:28:19,Normal,30.5
2026-04-03 20:28:19,Normal,30.5
